Channel Title,Message
Sheger online-store,"💥harmonium የልጆች ባለፒያኖ መቦረቂያ

👉ልጆች እግራቸውን ሲያንፈራግጡ ፒያኖውን ሲነኩት ፒያኖው ድምፅ
በማውጣት ልጆችን ያስፈነድቃል

👉ልጆች ከፍ ብለው መቀመጥ ሲችሉ ምንጣፉ ላይ ቁጭ ብለው ፒያኖውን እየመቱ ይጫወቱበታል

👉improves childern's handling ability combining learning with playing to learn through play safe materials

👉the popular gift for children,it will bring them a golden childhood

         ዋጋ:-3500ብር

🏢 አድራሻ  👉 መገናኛ ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

     💧💧💧💧


    📲 0909522840
    📲 0923350054

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore"
Sheger online-store,
Sheger online-store,"⚡️⚡️........................⚡️⚡️
🎯 Smart LED temperature display Bottle

🔰500ml Smart LED temperature display 
✅ Double layer stainless steel 
✅Food  grade PP plastic cap
✅Convenient   portable and easy to use
✅Colourful Design
✅Keeps  drinks at right temperature for longer hours (6-12Hours)

✅Stainless    Steel Vacuum  Mug 
✅Hand wash Only 

✅Stainless Steel 
✅Smart IC
✅Keep warm 
✅Keep cool
✅Touch Display 
✅Solid & Reliable 
✅Healthy Materail 
✅ tea  Cup leaks 
✅Double -Deck

Available Color:  
🎈NB: Do not microwave

ዋጋ፦  💰🏷  700 ብር


😎 ውስን ፍሬ ነው ያለው 

🏢 አድራሻ  👉 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A (ከ ሊፍቱ ፊት ለ ፊት)

     💧💧💧💧


    📲 0909522840
    📲 0923350054

🔖
💬በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore"
Sheger online-store,
Sheger online-store,
Sheger online-store,
Sheger online-store,"💥multiple dispenser for cereals grains and pulse

👉6-Grid Grain Rice Bucket Cereal 
👉Dispensers Food Storage Box Container 
👉Kitchen Storage Tank

     ዋጋ፦ ✅ 1,900 ብር

ውስን ፍሬ ነው የቀረው ❌❌

🏢 አድራሻ  👉 መገናኛ ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

     💧💧💧💧


    📲 0909522840
    📲 0923350054

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore"
Sheger online-store,
Sheger online-store,
Sheger online-store,
Sheger online-store,
Sheger online-store,"💥Queen Luxury style #kitchen_expert

#ስጋ #ጨጓራ #ሽንኩርት በሰከንዶች ድቅቅ የሚያደርግ 

⚡️6L capacity
⚡️three(3) speed electric meat grinder 
⚡️Detachable parts for easy cleaning
⚡️Machine cup separation for convenient use
⚡️Double cover design. After you finish stirring, cover immediately

 ዋጋ፦  💰 4000 ብር✅

♦️ውስን ፍሬ ነው ያለው

አድራሻ 📍 ቁ.1 👉መገናኛ ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

📍ቁ.2 👉ለቡ  መዳህኒዓለም ቤተ/ክርስቲያን ፊት ለፊት  #ዛም_ሞል 2ኛ ፎቅ ቢሮ ቁጥር.214


👍ለቡ ቅርንጫፍ📲0973611819




    📲 0909522840
    📲 0923350054

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore"
Sheger online-store,"🎯Shock and Noise Cancelling Washing Machine Support

🔰Washer and Dryer Pedestals,Anti Slip Anti Vibration Rubber Washing Machine Feet Pads
🔰Washing Machine Stabilizer for Raise Height 
🔰Reduce Noise 4PCS

ዋጋ፦  💰🏷  350 ብር

🏢 አድራሻ  👉 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05/SL-06 (ከ ሊፍቱ ፊት ለ ፊት)

     💧💧💧💧


    📲 0909522840
    📲 0923350054

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore"
Sheger online-store,"🎄🎄🎄🎄እንኮን አደረሳችሁ 🎄🎄🎄

#ልዩ የ በዓል ቅናሽ እንደቀጠለ ነው🎄🎄💥
🎯Sonifer® electric Steam Iron 

🔰ceramic Soleplate
🔰Dry Ironing Function 
🔰2000w
🔰Spray & Steam Function 
🔰variable Steam Control
🔰flexiable 360° Swivel Cord Guard 
🔰water tank capacity 250ml
                      
ዋጋ፦  💰🏷2800ብር❌❌
                     2600 ብር✅✅

📍ውስን ፍሬ ነው ያለን/ Limited Stock

🏢 አድራሻ  👉 መገናኛ ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

     💧💧💧💧


    📲 0909522840
    📲 0923350054

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore"
Sheger online-store,"💥orginal Philips  garment steamer

👉1600watt 
👉2level steams
👉bacteria killing
👉Adjustable pole for more convenience and easy storage 

         ዋጋ:-13,000ብር


🏢 አድራሻ  👉 መገናኛ ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

     💧💧💧💧


    📲 0909522840
    📲 0923350054

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore"
Sheger online-store,"💥 Electric Hair Styling Hot Comb

🔰Fast Heating
🔰Ceramic press comb
🔰Smooths and softens all hair types
🔰Straightens unruly hair
🔰Auto shut-off for added safety
🔰Easy to use hair straightening comb

ዋጋ፦  💰🏷  1300 ብር

📍ውስን ፍሬ ነው ያለን/ Limited Stock

🏢 አድራሻ👉 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ sl/05A (ከ ሊፍቱ ፊት ለ ፊት)

     💧💧💧💧


    📲 0909522840
    📲 0923350054

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore"
Sheger online-store,"💥 Tummy Wrap Belt

🔰 ቦርጭ የሚሰበስብ
🔰 ስብ የሚያቃጥል 
🔰 5 ሜትር 

👯‍♀ Fat Burning Molding 
👯‍♀ Body Shaping 
👯‍♀Reduce Waistline
👯‍♀Promote Sweating

🔖Size 5m 

  ዋጋ፦  💰🏷   750 ብር

📍ውስን ፍሬ ነው ያለን/ Limited Stock

🏢 አድራሻ  👉 መገናኛ ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

     💧💧💧💧


    📲 0909522840
    📲 0923350054

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore"
Sheger online-store,"💥 360° የሚሽከረከር የጥራጥሬ ማስቀመጫ

👉የራሱ መቀነሻ ያለው
👉በፈለግነው መጠን መቀነስ የሚያስችል 
👉ለሩዝና ለጥራጥሬ
👉የኪችናችን ውበት እና ስርአት ከፍ የሚያደርግ

ዋጋ፦  💰🏷  3200ብር✅✅

♦️ውስን ፍሬ ነው ያለው 🔥🔥🔥

🏢 አድራሻ  👉 መገናኛ ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

     💧💧💧💧


    📲 0909522840
    📲 0923350054

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore"
Sheger online-store,"💥momcoc non stick cookware

 👉 የማይዙ ማራኪ ግራናይት ቅብ ድስቶች
👉4 ድስቶች 1 መጥበሻ ከነ ክዳናቸው
        እንዲሁም ሁለት ጭልፋዎች በአንድ ላይ

ዋጋ፦  💰🏷  7800 ብር❌❌
                     7600 ብር✅✅

📍ውስን ፍሬ ነው ያለን/ Limited Stock

🏢 አድራሻ  👉 መገናኛ ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

     💧💧💧💧


    📲 0909522840
    📲 0923350054

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore"
Sheger online-store,"👉የተለያዩ የአትክልት አይነቶችን መጨፍለቂያ

👉በተለይ ለህፃናት ምግብ ለማዘጋጀት ተመራጭ

👉ከፍተኛ ሙቀትን የሚቋቋም

            ዋጋ:- 350  ብር

🏢 አድራሻ  👉 መገናኛ ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

     💧💧💧💧


    📲 0909522840
    📲 0923350054

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore"
Sheger online-store,"💥Electronic Kitchen Scale

👉ዲጂታል ሚዛን

🔰ምግቦችን ማዘጋጀት ስንፈልግ
በአንድ ጊዜ እስከ ከ 0.1ግራም እስከ 10ኪሎ ድረስ መመዘን የሚያስችል
🔰ሲመዝኑ የግራሙንም መጠን የሚያሳይ 
🔰ለፈርማሲ መድሀኒቶችን ለመቀመም
በግራም መመዘን ስለምንችል 
🔰ለቢሮ ለኪችን ለኢንዱስትሪ ለላብራቶሪ


👉 Equipped with a high precision strain gauge sensor system 
👉 LCD Display 
👉Model: SF-400

    ዋጋ፦  💰🏷  900 ብር

📍ውስን ፍሬ ነው ያለን/ Limited Stock

🏢 አድራሻ  👉 መገናኛ ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

     💧💧💧💧


    📲 0909522840
    📲 0923350054

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore"
Sheger online-store,"❇️ Wall Mounted Phone Holder Charging Stand Lazy Fixed Wall Bedside Phone Holder

       ዋጋ :-150ብር✅

✍ያለን መጠን ውሱን ነው።

🏢 አድራሻ  👉 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

     💧💧💧💧


    📲 0909522840
    📲 0923350054

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore"
Sheger online-store,"kids bath towel

          💯quality

👉የልጆች ፎጣ
👉soft and comfortable 
👉super absorbant


        ዋጋ:-700ብር

   ✖️ውስን ፍሬ ነው ያለን

🏢 አድራሻ  👉 መገናኛ ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

     💧💧💧💧


    📲 0909522840
    📲 0923350054

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore"
Sheger online-store,
Sheger online-store,
Sheger online-store,
Sheger online-store,
Sheger online-store,"💥Soap Pump Dispenser with Sponge

🔰Dispense the perfect amount of dish soap, Every time!!
🔰Tank Capacity: 385ml

ዋጋ፦  💰🏷    350 ብር ✅✅

♦️ውስን ፍሬ ነው ያለው 

🏢 አድራሻ  👉 መገናኛ ታሜ ጋስ ህንፃ ጎን ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A (ከ ሊፍቱ ፊት ለ ፊት)

     💧💧💧💧


    📲 0909522840
    📲 0923350054

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore"
Sheger online-store,
Sheger online-store,🎯🚿 ተንቀሳቃሽ ሻወር🚿
Sheger online-store,"✳️ Sink Slide box

✅ አትክልትና ፍራፍሬ ማጠብያ 
✅ የታጠቡ ዕቃወች ማስቀመጫ 

✅ Bearing weight Max 10kG
✅ Adjustment the length according to the slider's
✅ Fix clip to rim of sink

↔️ Sliding from 37.5cm to 60cm

      ዋጋ፦ ✅ 1100 ብር

ውስን ፍሬ ነው የቀረው ❌❌


🏢 አድራሻ  👉 መገናኛ ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

     💧💧💧💧


    📲 0909522840
    📲 0923350054

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore"
Sheger online-store,
Sheger online-store,
Sheger online-store,
Sheger online-store,
Sheger online-store,
Sheger online-store,"🎯Universal Clip Cell Phone Holder 

🔰 ለሁሉም ስልኮች የሚሆን  የስልክ መያዣ
🔰 የመኪናዎ የኋላ መስታወት ላይ በቀላሉ የሚገጠም
🔰 በጠረጴዛ፣ አልጋ፣ዴስኮች  ላይ እንዲሁም በሌሎች ቦታዎች ላይ  መገጠም የሚችል
🔰 360 degree መዞር የሚችል 
🔰እየነዱ በስልኮ GPS ለመጠቀም እጅግ አመቺ
🔰 በስልክ ካሜራ ለመጠቀም (ቪዲዮ ለመቅረጽ) እጅግ ጠቃሚ በተለይ ለዮቲዩበሮች እና ቲክቶከሮች

🔰 Rearview Mirror 
🔰 Backseat
🔰 Kitchen Stand 
🔰 Desk/Table/Bed Stand 
🔰 Suitable Phone in 4.0 - 6.9 inch

ዋጋ፦  💰🏷  650 ብር

📍ውስን ፍሬ ነው ያለን/ Limited Stock


     💧💧💧💧
 

    📲 0909522840
    📲 0923350054

🔖
💬  በTelegram ለማዘዝ ⤵️ ይጠቀሙ
@shager_onlinestore"
Sheger online-store,"👉 Sweat Shaper
      💥Slimming body shaper"
Sheger online-store,"💥 DUST ROLLER STICKER

👉 የሱፍ ልብስ ማፅጂያ
👉 2 ተቀያሪ ስቲከር ያለው
👉 አንድ ባለ ረጅም እጄታ ሩሎ

       ዋጋ፦ ✅ 700 ብር

🏢 አድራሻ  👉 መገናኛ ስሪ ኤም ሲቲ ሞል  ሁለተኛ ፎቅ ቢሮ ቁ. SL-05A(ከ ሊፍቱ ፊት ለ ፊት)

     💧💧💧💧


    📲 0909522840
    📲 0923350054

🔖
💬  በTelegram ለማዘዝ
ይጠቀሙ 
@shager_onlinestore
  
ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://t.me/Shageronlinestore"
Sheger online-store,
